City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Mount Isa,AU,2022-07-12 17:26:36,-20.7333,139.5,47.97,43,25,9.22
116,Port Blair,IN,2022-07-12 17:26:36,11.6667,92.75,80.64,94,100,2.3
117,Saint-Francois,FR,2022-07-12 17:26:36,46.4154,3.9054,85.44,28,0,8.05
118,Usinsk,RU,2022-07-12 17:26:37,65.9939,57.5281,73.42,64,70,8.03
119,Udachnyy,RU,2022-07-12 17:26:37,66.4167,112.4,52.45,93,67,3.89
120,Guerrero Negro,MX,2022-07-12 17:26:38,27.9769,-114.0611,71.06,69,91,14.12
121,Kaitangata,NZ,2022-07-12 17:26:38,-46.2817,169.8464,45.37,96,100,15.39
122,Yangjiang,CN,2022-07-12 17:25:09,21.85,111.9667,80.4,89,5,5.23
123,Esperance,AU,2022-07-12 17:26:38,-33.8667,121.9,52.92,56,0,7.45
124,Hobyo,SO,2022-07-12 17:26:39,5.3505,48.5268,77.65,77,90,27.22
125,Saint-Augustin,CA,2022-07-12 17:26:39,51.226,-58.6502,56.21,93,100,11.05
126,Svetlaya,RU,2022-07-12 17:26:39,46.5389,138.3297,61.18,97,96,4.79
127,Kavieng,PG,2022-07-12 17:23:13,-2.5744,150.7967,82.08,76,6,14.38
128,Baracoa,CU,2022-07-12 17:26:40,20.3467,-74.4958,88.48,61,100,5.97
129,Bowen,AU,2022-07-12 17:26:40,-20.0167,148.2333,58.87,77,1,7.61
130,Ilulissat,GL,2022-07-12 17:26:41,69.2167,-51.1,46.42,81,75,5.75
131,Nueva Loja,EC,2022-07-12 17:26:41,0.0847,-76.8828,86.02,62,75,3.44
132,Salinopolis,BR,2022-07-12 17:26:41,-0.6136,-47.3561,83.55,69,87,7.96
133,Richards Bay,ZA,2022-07-12 17:26:42,-28.783,32.0377,67.19,76,97,9.13
134,Jambi,ID,2022-07-12 17:21:52,-1.6,103.6167,75.43,96,67,1.83
135,Comodoro Rivadavia,AR,2022-07-12 17:26:42,-45.8667,-67.5,44.46,57,20,24.16
136,Indian Head,US,2022-07-12 17:26:43,38.6001,-77.1622,92.03,64,0,10.0
137,Guozhen,CN,2022-07-12 17:27:43,34.3659,107.359,70.52,91,100,4.81
138,Puerto Del Rosario,ES,2022-07-12 17:27:43,28.5004,-13.8627,76.75,73,20,19.57
139,Lagunas,PE,2022-07-12 17:27:44,-5.2269,-75.6753,88.25,57,8,1.32
140,Georgetown,MY,2022-07-12 17:27:44,5.4112,100.3354,78.73,91,40,4.61
141,Caravelas,BR,2022-07-12 17:27:44,-17.7125,-39.2481,78.94,55,29,9.42
142,Qaanaaq,GL,2022-07-12 17:27:45,77.484,-69.3632,41.86,71,22,4.81
143,Lebu,CL,2022-07-12 17:27:45,-37.6167,-73.65,49.87,94,100,7.87
144,Kruisfontein,ZA,2022-07-12 17:27:45,-34.0033,24.7314,49.89,81,0,4.23
145,Vila,PT,2022-07-12 17:27:46,42.0304,-8.1588,90.7,29,36,8.61
146,Rudsar,IR,2022-07-12 17:27:46,37.1376,50.288,82.38,65,0,2.28
147,Tuktoyaktuk,CA,2022-07-12 17:27:46,69.4541,-133.0374,41.0,100,100,10.36
148,Sampit,ID,2022-07-12 17:27:47,-2.5333,112.95,74.12,99,24,1.34
149,Beloha,MG,2022-07-12 17:27:47,-25.1667,45.05,64.08,86,0,7.23
150,Nome,US,2022-07-12 17:27:47,64.5011,-165.4064,55.47,72,0,0.0
151,Dunedin,NZ,2022-07-12 17:27:48,-45.8742,170.5036,46.65,96,100,16.55
152,Capreol,CA,2022-07-12 17:27:48,46.706,-80.9225,70.27,52,40,9.22
153,Quatre Cocos,MU,2022-07-12 17:27:48,-20.2078,57.7625,72.09,63,55,17.31
154,Hovd,MN,2022-07-12 17:27:49,48.0056,91.6419,65.75,49,97,11.7
155,Hasaki,JP,2022-07-12 17:27:49,35.7333,140.8333,73.8,93,100,4.21
156,Manta,EC,2022-07-12 17:27:50,-0.95,-80.7333,74.98,83,100,5.75
157,Victoria,HK,2022-07-12 17:26:00,22.2855,114.1577,87.19,82,6,3.0
158,Puerto Ayora,EC,2022-07-12 17:27:50,-0.7393,-90.3518,76.96,82,43,8.01
159,Hilo,US,2022-07-12 17:27:50,19.7297,-155.09,77.61,72,100,3.44
160,Portland,US,2022-07-12 17:23:55,45.5234,-122.6762,82.94,55,0,8.05
161,Oranjemund,NA,2022-07-12 17:27:51,-28.55,16.4333,55.92,81,0,11.63
162,Vilyuysk,RU,2022-07-12 17:27:51,63.7553,121.6247,60.64,84,86,1.14
163,Parabel,RU,2022-07-12 17:27:51,58.6978,81.4825,54.48,62,65,4.34
164,Deputatskiy,RU,2022-07-12 17:27:52,69.3,139.9,48.85,85,39,3.8
165,Ahipara,NZ,2022-07-12 17:27:52,-35.1667,173.1667,57.88,86,11,15.03
166,Ancud,CL,2022-07-12 17:27:53,-41.8697,-73.8203,42.22,67,71,12.21
167,Belaya Gora,RU,2022-07-12 17:27:53,68.5333,146.4167,62.33,80,32,4.63
168,Port Hedland,AU,2022-07-12 17:27:53,-20.3167,118.5667,57.25,58,4,6.91
169,Barrow,US,2022-07-12 17:27:54,71.2906,-156.7887,37.42,87,100,11.5
170,Gaoual,GN,2022-07-12 17:27:54,11.75,-13.2,86.02,72,97,3.24
171,Salta,AR,2022-07-12 17:23:05,-24.7859,-65.4117,57.79,35,0,8.05
172,Atar,MR,2022-07-12 17:27:54,20.5169,-13.0499,110.07,11,39,14.0
173,Agadez,NE,2022-07-12 17:27:55,19.75,10.25,104.92,10,31,11.79
174,Vyritsa,RU,2022-07-12 17:27:55,59.4078,30.3481,71.11,77,83,6.89
175,Vila Velha,BR,2022-07-12 17:27:34,-20.3297,-40.2925,80.55,74,75,13.8
176,Provideniya,RU,2022-07-12 17:27:56,64.3833,-173.3,50.59,80,52,3.91
